,Round 1,Round 2,Round 3,Round 4,Round 5
Sickks-FA,Wraith,Wraith,Wraith,Wraith,Wraith
Bowswerr,Wattson,Wattson,Wattson,Wattson,Wattson
Nicewiig,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
Teen9999,Wraith,Wraith,Wraith,Wraith,Wraith
XenialsTaken,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
Saucerorr,Wattson,Wattson,Wattson,Wattson,Wattson
NORTH_Gobble,Wraith,Wraith,Wraith,Wraith,Wraith
Stompezz,Wattson,Wattson,Wattson,Wattson,Wattson
NORTH_Yoyo,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
NRG_Frexs,wattson,wattson,wattson,wattson,wattson
NRG_rocker,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar
NRG_nafen,wraith,wraith,wraith,wraith,wraith
Gentrifyinq,Wraith,Wraith,Wraith,Wraith,Wraith
Dezignful,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
Resultah,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
pettyboss,wattson,wattson,wattson,wattson,wattson
unninSmile,wraith,wraith,wraith,wraith,wraith
only1mini,pathfinder,pathfinder,pathfinder,pathfinder,pathfinder
Nokokopuffs,caustic,caustic,caustic,caustic,caustic
Knoqd,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar
zachmazer,wraith,wraith,wraith,wraith,wraith
theesaarr,Gibraltar,pathfinder,pathfinder,pathfinder,pathfinder
fuinhafps,Wraith,Wraith,Wraith,Wraith,Wraith
Besk9,Wattson,Wattson,Wattson,Wattson,Wattson
GODSENT_Hiarky,Wattson,Wattson,Wattson,Wattson,Wattson
GODSENT_CUBSKI,wraith,wraith,wraith,wraith,wraith
yubnTV,pathfinder,pathfinder,pathfinder,pathfinder,pathfinder
v-shini-v,wraith,wraith,wraith,wraith,wraith
HugeGorilla47,wattson,wattson,wattson,wattson,wattson
303-phonyhead,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar
LionFYD,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
Pandrxrz,Wraith,Wraith,Wraith,Wraith,Wraith
96TeQ96,Crypto,Crypto,Crypto,Crypto,Crypto
COL_Monsoon,Wraith,Wraith,Wraith,Wraith,Wraith
COL_Reptar,Bloodhound,wattson,Bloodhound,Bloodhound,Pathfinder
COL_Lou,Gibraltar,gibraltar,Gibraltar,Gibraltar,Gibraltar
E-Boy_Ronnie,Wraith,Wraith,Wraith,Wraith,Wraith
whazGs,Wattson,Wattson,Wattson,Wattson,Wattson
Solo_Mshade,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
evzy,wattson,wattson,wattson,wattson,wattson
Wolfx,wraith,wraith,wraith,wraith,wraith
Neokox,pathfinder,pathfinder,pathfinder,pathfinder,pathfinder
crust,caustic,caustic,caustic,caustic,caustic
senoxe,wraith,wraith,wraith,wraith,wraith
peesh,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar
Protectful,Wattson,Wattson,Wattson,Wattson,Wattson
Muffsin_McCarthy,gibraltar,gibraltar,Gibraltar,Gibraltar,Gibraltar
Ishiny_Mccarthy,Wraith,Wraith,Wraith,Wraith,Wraith
TLiquidCasper,Caustic,Caustic,Pathfinder,Pathfinder,Pathfinder
LiquidNocturnal,Wraith,Wraith,Wraith,Wraith,Wraith
LiquidFlanker,Wattson,Wattson,Wattson,Wattson,Wattson
sF_Metro,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar
sf_Pride,Wraith,Wraith,Wraith,Wraith,Wraith
sf_Claraphi,Wattson,Wattson,Wattson,Wattson,Wattson
RogueDropped,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder
Snip3down_EW,Wattson,Wattson,Wattson,Wattson,Wattson
RogueSweet,Wraith,Wraith,Wraith,Wraith,Wraith
TSM_ImperialHal,Wraith,Wraith,Wraith,Wraith,Wraith
Reps_TSM,Wattson,Wattson,Wattson,Wattson,Wattson
TSM_Albralelie,pathfinder,pathfinder,pathfinder,pathfinder,pathfinder
