,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon,legend_killer,legend_target
0,SICKKS-FA,HEMLOK,,True,"XENIALSTAKEN
",SICKKS-FA,XENIALSTAKEN,,HEMLOK,WRAITH,GIBRALTAR
1,NICEWIGG,FINISH,,False,"XENIALSTAKEN
",NICEWIIG,XENIALSTAKEN,,DEFENSIVE BOMBARDMENT,PATHFINDER,GIBRALTAR
2,NAFEN_NRG,NADE,,True,"PETTYBOSS
",E-BOY_RONNIE,PETTYBOSS,,KRABER,WRAITH,WATTSON
3,NAFEN_NRG,ARC,,True,"PETTYBOSS
",E-BOY_RONNIE,PETTYBOSS,,ARC START,WRAITH,WATTSON
4,GENTRIFYINQ,RE45,,True,"BRT-FUINHAFPS
",GENTRIFYINQ,FUINHAFPS,,RE-45,WRAITH,WRAITH
5,RESULTAH,WINGMAN,,True,"BRT-THEESAARR
",RESULTAH,THEESAARR,,GRENADE,GIBRALTAR,GIBRALTAR
6,DEZIGNFUL,PROWLER,,False,"BESK9
",DEZIGNFUL,BESK9,,KRABER,PATHFINDER,WATTSON
7,RESULTAH,,BLEED OUT,False,"BRT-THEESAARR
",RESULTAH,THEESAARR,BLEED OUT,,GIBRALTAR,GIBRALTAR
8,GENTRIFYINQ,,BLEED OUT,False,"BRT-FUINHAFPS
",GENTRIFYINQ,FUINHAFPS,BLEED OUT,,WRAITH,WRAITH
9,CLG_NOKOKOPUFFS,R99,,True,"E-BOY_RONNIE
",NOKOKOPUFFS,E-BOY_RONNIE,,R-99,CAUSTIC,WRAITH
10,CLG_NOKOKOPUFFS,R99,,False,"E-BOY_RONNIE
",NOKOKOPUFFS,E-BOY_RONNIE,,R-99,CAUSTIC,WRAITH
11,PANDXRZ,R99,,True,"303_PHONYHEAD
",PANDRXRZ,303-PHONYHEAD,,R-99,WRAITH,GIBRALTAR
12,LIONFYD,R99,,True,"303_PHONYHEAD
",LIONFYD,303-PHONYHEAD,,R-99,PATHFINDER,GIBRALTAR
13,PANDXRZ,R99,,True,"HUGEGORILLA47
",PANDRXRZ,HUGEGORILLA47,,R-99,WRAITH,WATTSON
14,V-SHINI-V,GSCOUT,,True,"PANDXRZ
",V-SHINI-V,PANDRXRZ,,G7 SCOUT,WRAITH,WRAITH
15,LIONFYD,R99,,False,"ISHINY_MCCARTHY
",LIONFYD,ISHINY_MCCARTHY,,R-99,PATHFINDER,WRAITH
16,PANDXRZ,BLEED,,False,"HUGEGORILLA47
",PANDRXRZ,HUGEGORILLA47,,GRENADE,WRAITH,WATTSON
17,ZACHMAZER,BOMBARD,,True,"MSG_NEOKOX
",ZACHMAZER,NEOKOX,,KRABER,WRAITH,PATHFINDER
18,KNOQD,R99,,False,"MSG_NEOKOX
",KNOQD,NEOKOX,,R-99,GIBRALTAR,PATHFINDER
19,CLG_NOKOKOPUFFS,R99,,True,"MSG_EVZY
",NOKOKOPUFFS,SF_PRIDE,,R-99,CAUSTIC,WRAITH
20,,,BLEED OUT,False,"MSG_EVZY
",,SF_PRIDE,BLEED OUT,,,WRAITH
21,96TEQ96,MASTIFF,,False,"MSG_WOLFX
",96TEQ96,WOLFX,,MASTIFF,CRYPTO,WRAITH
22,ZACHMAZAR,R99,,True,"WHAZGS
",ZACHMAZER,WHAZGS,,R-99,WRAITH,WATTSON
23,CLG_NOKOKOPUFFS,EVA8,,False,"SOLO_MSHADE
",NOKOKOPUFFS,SOLO_MSHADE,,EVA-8,CAUSTIC,PATHFINDER
24,ZACHMAZAR,,BLEEDOUT,False,"WHAZGS
",ZACHMAZER,WHAZGS,BLEED OUT,,WRAITH,WATTSON
25,TEEN9999,WINGMAN,,True,"SICKKS-FA
",TEEN9999,SICKKS-FA,,GRENADE,WRAITH,WRAITH
26,XENIALSTAKEN,GSCOUT,,False,"SICKKS-FA
",XENIALSTAKEN,SICKKS-FA,,G7 SCOUT,GIBRALTAR,WRAITH
27,DEZIGNFUL,PROWLER,,True,"SEN_SENOXE
",DEZIGNFUL,SENOXE,,KRABER,PATHFINDER,WRAITH
28,GENTRIFYINQ,R99,,True,"SEN_PEESH
",GENTRIFYINQ,PEESH,,R-99,WRAITH,GIBRALTAR
29,TWITCHSAUCERORR,R99,,True,"CLG_NICEWIGG
",SAUCERORR,NICEWIIG,,R-99,WATTSON,PATHFINDER
30,NRG_ROCKER,MASTIFF,,False,"BOWSWERR
",NRG_ROCKER,BOWSWERR,,MASTIFF,GIBRALTAR,WATTSON
31,TWITCHSAUCERORR,,BLEED OUT,False,"CLG_NICEWIGG
",SAUCERORR,NICEWIIG,BLEED OUT,,WATTSON,PATHFINDER
32,GENTRIFYINQ,R99,,False,"CRUST
",GENTRIFYINQ,CRUST,,R-99,WRAITH,CAUSTIC
33,DEZIGNFUL,,BLEED OUT,False,"SEN_SENOXE
",DEZIGNFUL,SENOXE,BLEED OUT,,PATHFINDER,WRAITH
34,GENTRIFYINQ,,BLEED OUT,False,"SEN_PEESH
",GENTRIFYINQ,PEESH,BLEED OUT,,WRAITH,GIBRALTAR
35,COL_LOU,MASTIFF,,True,"MUFFINSMCCARTHY
",COL_LOU,MUFFSIN_MCCARTHY,,MASTIFF,GIBRALTAR,GIB
36,COL_LOU,MELEE,,True,"ISHINY_MCCARTHY
",COL_LOU,ISHINY_MCCARTHY,,PEACEKEEPER,GIBRALTAR,WRAITH
37,COL_LOU,MASTIFF,,False,"PROTECTFUL
",COL_LOU,PROTECTFUL,,MASTIFF,GIBRALTAR,WAT
38,COL_LOU,,BLEED OUT,False,"MUFFINSMCCARTHY
",COL_LOU,MUFFSIN_MCCARTHY,BLEED OUT,,GIBRALTAR,GIB
39,COL_LOU,"ISHINY_MCCARTHY
",BLEED OUT,False,"OUT]ISHINY_MCCARTHY
",COL_LOU,ISHINY_MCCARTHY,BLEED OUT,DEFENSIVE BOMBARDMENT,GIBRALTAR,WRAITH
40,TLIQUIDCASPER,R99,,True,"COL_LOU
",TLIQUIDCASPER,COL_LOU,,R-99,CAUSTIC,GIBRALTAR
41,COL_LOU,BOMBARD,,False,"LIQUIDNOCTURNAL
",COL_LOU,LIQUIDNOCTURNAL,,KRABER,GIBRALTAR,WRAITH
42,TLIQUIDCASPER,ALTERNATOR,,False,"COL_MONSOON
",TLIQUIDCASPER,COL_MONSOON,,ARC START,CAUSTIC,WRAITH
43,TLIQUIDCASPER,ALTERNATOR,,False,"COL_REPTAR
",TLIQUIDCASPER,COL_REPTAR,,ARC START,CAUSTIC,BLOODHOUND
44,XENIALSTAKEN,GSCOUT,,True,"NRG_ROCKER
",XENIALSTAKEN,NRG_ROCKER,,G7 SCOUT,GIBRALTAR,GIBRALTAR
45,TWITCHSAUCERROR,R99,,False,"NRG_ROCKER
",SAUCERORR,NRG_ROCKER,,R-99,WATTSON,GIBRALTAR
46,DEZIGNFUL,GSCOUT,,True,"ROGUEDROPPED
",DEZIGNFUL,ROGUEDROPPED,,G7 SCOUT,PATHFINDER,PATHFINDER
47,DEZIGNFUL,GSCOUT,,True,"TEEN999
",DEZIGNFUL,TEEN9999,,G7 SCOUT,PATHFINDER,WRAITH
48,XENIALSTAKEN,NADE,,True,"SWEET
",XENIALSTAKEN,SENOXE,,KRABER,GIBRALTAR,WRAITH
49,YUBNTV,WIGNMAN,,True,"XENIALSTAKEN
",YUBNTV,XENIALSTAKEN,,GRENADE,PATHFINDER,GIBRALTAR
50,GENTRYIFYINQ,R99,,False,"TEEN9999
",GENTRIFYINQ,TEEN9999,,R-99,WRAITH,WRAITH
51,NAFEN_NRG,R99,,False,"TWITCH_SAUCERORR
",E-BOY_RONNIE,SAUCERORR,,R-99,WRAITH,WATTSON
52,YUBNTV,,BLEED OUT,False,"XENIALSTAKEN
",YUBNTV,XENIALSTAKEN,BLEED OUT,,PATHFINDER,GIBRALTAR
53,GODSENT_CUBSKI,LSTAR,,True,"ROGUESWEET
",GODSENT_CUBSKI,ROGUESWEET,,ARC START,WRAITH,WRAITH
54,PANDXRZ,PROWLER,,True,"TSM_IMPERIALHAL
",PANDRXRZ,TSM_IMPERIALHAL,,KRABER,WRAITH,WRAITH
55,PANDXRZ,PROWLER,,True,"TSM_ALBRALELLIE
",PANDRXRZ,TSM_ALBRALELIE,,KRABER,WRAITH,PATHFINDER
56,LIONFYD,R99,,False,"REPS_TSM
",LIONFYD,REPS_TSM,,R-99,PATHFINDER,WATTSON
57,PANDXRZ,,BLEED OUT,False,"TSM_IMPERIALHAL
",PANDRXRZ,TSM_IMPERIALHAL,BLEED OUT,,WRAITH,WRAITH
58,PANDXRZ,,BLEED OUT,False,"TSM_ALBRALELLIE
",PANDRXRZ,TSM_ALBRALELIE,BLEED OUT,,WRAITH,PATHFINDER
59,DEZIGNFUL,PROWLER,,True,"YUBNTV
",DEZIGNFUL,YUBNTV,,KRABER,PATHFINDER,PATHFINDER
60,GENTRIFYINQ,MASTIFF,,True,"GODSENT_CUBSKI
",GENTRIFYINQ,GODSENT_CUBSKI,,MASTIFF,WRAITH,WRAITH
61,ROGUEDROPPED,FLATLINE,,True,"DEZIGNFUL
",ROGUEDROPPED,DEZIGNFUL,,SENTINEL,PATHFINDER,PATHFINDER
62,GENTRFYINQ,MASTIFF,,False,"YUBNTV
",GENTRIFYINQ,YUBNTV,,MASTIFF,WRAITH,PATHFINDER
63,DEZIGNFUL,PROWLER,,False,"GODSENT_CUBSKI
",DEZIGNFUL,GODSENT_CUBSKI,,KRABER,PATHFINDER,WRAITH
64,NRG_FREXS,R301,,True,"LIQUIDNOCTURNAL
",NRG_FREXS,LIQUIDNOCTURNAL,,R-301,WATTSON,WRAITH
65,ROGUESWEET,GSCOUT,,False,"LIQUIDNOCTURNAL
",ROGUESWEET,LIQUIDNOCTURNAL,,G7 SCOUT,WRAITH,WRAITH
66,NAFEN_NRG,DEVOTION,,True,"KNOQD
",E-BOY_RONNIE,KNOQD,,SENTINEL,WRAITH,GIBRALTAR
67,ZACHMAZER,R99,,True,"NAFEN_NRG
",ZACHMAZER,NRG_NAFEN,,R-99,WRAITH,WRAITH
68,CLG_NOKOKOPUFFS,R99,,False,"NAFEN_NRG
",NOKOKOPUFFS,NRG_NAFEN,,R-99,CAUSTIC,WRAITH
69,NRG_FREXS,R301,,True,"LIQUIDFLANKER
",NRG_FREXS,LIQUIDFLANKER,,R-301,WATTSON,WATTSON
70,ZACHMAZER,R99,,False,"LIQUIDFLANKER
",ZACHMAZER,LIQUIDFLANKER,,R-99,WRAITH,WATTSON
71,TLIQUIDCASPER,PROWLER,,False,"NRG_FREXS
",TLIQUIDCASPER,NRG_FREXS,,KRABER,CAUSTIC,WATTSON
72,STOMPEZZ,R99,,True,"CLG_NOKOKOPUFFS
",STOMPEZZ,NOKOKOPUFFS,,R-99,WATTSON,CAUSTIC
73,SF_PRIDE,WINGMAN,,True,"STOMPEZZ
",SF_PRIDE,STOMPEZZ,,GRENADE,WRAITH,WATTSON
74,RESULTAH,BOMBARD,,True,"DROPPED
",RESULTAH,ROGUEDROPPED,,KRABER,GIBRALTAR,PATHFINDER
75,DEZIGNFUL,PROWLER,,False,"ROGUEDROPPED
",DEZIGNFUL,ROGUEDROPPED,,KRABER,PATHFINDER,PATHFINDER
76,ONLY1MINI,GSCOUT,,False,"GODSENT_HIARKY
",ONLY1MINI,GODSENT_HIARKY,,G7 SCOUT,PATHFINDER,WATTSON
77,SF_PRIDE,WINGMAN,,False,"STOMPEZZ
",SF_PRIDE,STOMPEZZ,,GRENADE,WRAITH,WATTSON
78,GENTRIFYINQ,R99,,True,"ROGUESWEET
",GENTRIFYINQ,ROGUESWEET,,R-99,WRAITH,WRAITH
79,GENTRIFYINQ,MASTIFF,,True,"SNIP3DOWN_EW
",GENTRIFYINQ,SNIP3DOWN_EW,,MASTIFF,WRAITH,WATTSON
80,RESULTAH,GSCOUT,,False,"TLIQUIDCASPER
",RESULTAH,TLIQUIDCASPER,,G7 SCOUT,GIBRALTAR,CAUSTIC
81,PANDXRZ,PROWLER,,True,"SFMETRO
",PANDRXRZ,SF_METRO,,KRABER,WRAITH,GIBRALTAR
82,PANDXRZ,PROWLER,,True,"SFPRIDE
",PANDRXRZ,SF_PRIDE,,KRABER,WRAITH,WRAITH
83,96TEQ96,MASTIFF,,False,"SF_CLARAPHI
",96TEQ96,SF_CLARAPHI,,MASTIFF,CRYPTO,WATTSON
84,PANDXRZ,,BLEED OUT,False,"SFMETRO
",PANDRXRZ,SF_METRO,BLEED OUT,,WRAITH,GIBRALTAR
85,PANDXRZ,,BLEED OUT,False,"SFPRIDE
",PANDRXRZ,SF_PRIDE,BLEED OUT,,WRAITH,WRAITH
86,PANDXRZ,R99,,False,"NORTH_GOBBLE
",PANDRXRZ,NORTH_GOBBLE,,R-99,WRAITH,WRAITH
87,RESULTAH,PROWLER,,True,"PETTYBOSS
",RESULTAH,PETTYBOSS,,KRABER,GIBRALTAR,WATTSON
88,UNNINSMILE,R99,,True,"LIONFYD
",UNNINSMILE,LIONFYD,,R-99,WRAITH,PATHFINDER
89,ONLY1MINI,MASTIFF,,False,"LIONFYD
",ONLY1MINI,LIONFYD,,MASTIFF,PATHFINDER,PATHFINDER
90,RESULTAH,PROWLER,,False,"PANDXRZ
",RESULTAH,PANDRXRZ,,KRABER,GIBRALTAR,WRAITH
91,,,BLEED OUT,False,"96TEQ96
",,96TEQ96,BLEED OUT,,,CRYPTO
92,DEZIGNFUL,GSCOUT,,True,"ONLY1MINI
",DEZIGNFUL,ONLY1MINI,,G7 SCOUT,PATHFINDER,PATHFINDER
