,killer,weapon,action,down,target,matched_killer,matched_target,matched_action,matched_weapon
0,ZACHMAZER,PRWOWLER,,True,"HUGEGORILLA47
",ZACHMAZER,HUGEGORILLA47,,KRABER
1,ZACHMAZER,,FINISHER,False,"HUGEGORILLA47
",ZACHMAZER,HUGEGORILLA47,DEFENSIVE BOMBARDMENT,
2,303_PHONYHEAD_FLATLINE,DOWN,,True,"CLG_NOKO
",303-PHONYHEAD,COL_LOU,,LONGBOW
3,ZACHMAZER,PROWLER,,True,"V-SHINI-V
",ZACHMAZER,V-SHINI-V,,KRABER
4,ZACHMAZER,PROWLER,,False,"V-SHINI-V
",ZACHMAZER,V-SHINI-V,,KRABER
5,303_PHONYHEAD,FLATLINE,,True,"KNOQD
",303-PHONYHEAD,KNOQD,,SENTINEL
6,ZACHMAZER,PROLWER,,False,"303_PHONYHEAD
",ZACHMAZER,303-PHONYHEAD,,KRABER
7,MSG_WOLFX,ALTERNATOR,,True,"ZACHMAZER
",NRG_FREXS,ZACHMAZER,,ARC START
8,MS_WOLFX,,MELEE,False,"KNOQD
",WOLFX,KNOQD,DEFENSIVE BOMBARDMENT,
9,MSG_EVZY,SPITFIRE,,False,"ZACHMAZER
",STOMPEZZ,ZACHMAZER,,MASTIFF
10,PANDXRZ,HAVOC,,False,"CLG_NOKOKOPUFFS
",PANDRXRZ,NOKOKOPUFFS,,HAVOC
11,LIONFYD,LSTAR,,True,"MSG_EVZY
",LIONFYD,SF_PRIDE,,ARC START
12,LIONFYD,LSTAR,,False,"MSG_EVZY
",LIONFYD,SF_PRIDE,,ARC START
13,SICKKS-FA,EVA8,,True,"MSG_WOLFX
",SICKKS-FA,WOLFX,,EVA-8
14,BOWSWERR,PROWLER,,True,"PANDXRZ
",BOWSWERR,PANDRXRZ,,KRABER
15,BOWSWERR,R301,,False,"PANDXRZ
",BOWSWERR,PANDRXRZ,,R-301
16,CLG_NICEWIGG2,WINGMAN,,True,"96TEQ96
",NICEWIIG,96TEQ96,,LONGBOW
17,CLG_NICEWIGG2,R99,,False,"96TEQ96
",NICEWIIG,96TEQ96,,R-99
18,SICKKS-FA,ALTERNATOR,,False,"MSG_WOLFX
",SICKKS-FA,WOLFX,,ARC START
19,SNIP3DOWN_EW,R99,,True,"LIONFYD
",SNIP3DOWN_EW,LIONFYD,,R-99
20,NRG_FREXS,ASTIFF,,True,"COL_MONSOON
",NRG_FREXS,COL_MONSOON,,MASTIFF
21,NRG_ROCKER,MASTIFF,,False,"COL_MONSOON
",NRG_ROCKER,COL_MONSOON,,MASTIFF
22,NAFEN_NRG,WINGMAND,,True,"COL_REPTAR
",E-BOY_RONNIE,COL_REPTAR,,GRENADE
23,COL_LOU,HAVOC,,True,"NAFEN_NRG
",COL_LOU,NRG_NAFEN,,HAVOC
24,COL_LOU,P2020,,True,"NRG_ROCKER
",COL_LOU,NRG_ROCKER,,P2020
25,DEZIGNFUL,GSCOUT,,True,"ROGUEDROPPED
",DEZIGNFUL,ROGUEDROPPED,,G7 SCOUT
26,NRG_FREXS,MASTIFF,,False,"COL_LOU
",NRG_FREXS,COL_LOU,,MASTIFF
27,NAFEN_NRG,,BLEED OUT,False,"COL_REPTAR
",E-BOY_RONNIE,COL_REPTAR,BLEED OUT,
28,DESIGNFUL,PROWLER,,True,"SNIP3DOWN_EW
",DEZIGNFUL,SNIP3DOWN_EW,,KRABER
29,TLIQUIDCASPER,FLATLINE,,True,"NRG_FREXS
",TLIQUIDCASPER,NRG_FREXS,,SENTINEL
30,TLIQUIDCASPER,MASTIFF,,False,"NRG_ROCKER
",TLIQUIDCASPER,NRG_ROCKER,,MASTIFF
31,TLIQUIDCASPER,,BLEED OUT,True,"NRG_FREXS
",TLIQUIDCASPER,NRG_FREXS,BLEED OUT,
32,SEN_CRUST,CHARGE,,True,"YUBNTV
",GODSENT_CUBSKI,YUBNTV,,CHARGE RIFLE
33,COL_LOU,,BLEED OUT,False,"NAFEN_NRG
",COL_LOU,NRG_NAFEN,BLEED OUT,
34,RESP_TSM,GSCOUT,,False,"YUBNTV
",REPS_TSM,YUBNTV,,G7 SCOUT
35,DEZIGNFUL,PROWLER,,False,"ROGUESWEET
",DEZIGNFUL,ROGUESWEET,,KRABER
36,DEZIGNFUL,,BLEED OUT,False,"ROGUEDROPPED
",DEZIGNFUL,ROGUEDROPPED,BLEED OUT,
37,DESIGNFUL,,BLEED OUT,True,"SNIP3DOWN_EW
",DEZIGNFUL,SNIP3DOWN_EW,BLEED OUT,
